t,s,agg,i,Exports,va,GVC_trade_f,GVC_trade_b,GVC_trade,GVC_prod,GVCP_trade_f,GVCP_trade_b,GVCP_trade,GVCP_prod
2017,1,0,0,307080.6819671435,1333367.282824378,79461.55393609326,42639.54659478782,122101.10053088109,226376.41979649218,0.25876441796034355,0.1388545392098292,0.3976189571701728,0.1697779919400564
2017,2,0,0,201266.63026528666,381141.48896447313,42872.23114461437,70199.93607163962,113072.16721625399,83955.73293904128,0.21301211774701598,0.34879073584682213,0.5618028535938381,0.22027445284726518
2017,3,0,0,424418.6325614802,455066.79286724207,65010.218834695384,224150.72507064816,289160.94390534353,132095.41086057716,0.15317475211288742,0.5281359202300767,0.6813106723429642,0.2902769723720837
2017,4,0,0,39223.82098869208,53260.32583504767,7353.689482223311,15200.185953406379,22553.87543562969,16386.39084266394,0.18748019180342787,0.3875243556151369,0.5750045474185647,0.30766598937855094
2017,5,0,0,258208.69809450654,1922583.2866374578,51817.6043746185,35197.43195961068,87015.03633422918,155391.1279637917,0.20068109539692125,0.1363138895759744,0.33699498497289565,0.08082413336462851
2017,6,0,0,508165.0080894806,1538392.610011652,72556.33018808377,127206.81259129957,199763.14277938334,252286.5883999023,0.14278104362374286,0.250325800805435,0.39310684442917787,0.16399362994729377
2017,7,0,0,387762.6673995427,702870.9484037163,72272.47257914286,100897.61606951703,173170.08864865988,167106.27065492288,0.18638326650635192,0.26020456467913194,0.4465878311854838,0.23774815424429815
2017,8,0,0,2413999.8180505303,12201404.553951986,423246.136224188,339308.089433411,762554.225657599,992384.0585400512,0.1753298128108345,0.1405584569212708,0.3158882697321053,0.08133359189525619
2017,9,0,0,8830.254537719286,18019.607906873473,2255.5280613578457,3002.197964130168,5257.726025488014,3979.70636786482,0.25543182834913075,0.33998996872694776,0.5954217970760786,0.220854215498595
2017,10,0,0,178108.89171876106,198537.3834571036,31730.774376220164,87742.04573507205,119472.82011129221,57322.75077247271,0.1781537915935379,0.4926314732990378,0.6707852648925756,0.28872522531686323
2017,11,0,0,1737550.6885023925,3412164.461845338,328346.06792799494,551902.6281916793,880248.6961196742,671862.5921624047,0.18897064131751964,0.31763253402832703,0.5066031753458468,0.19690217153221673
2017,12,0,0,179917.7608396782,294374.6851300507,26887.71257579859,74156.61455421319,101044.32713001178,59852.0007074819,0.14944445979270382,0.4121695057126291,0.5616139655053329,0.203319115843946
2017,13,0,0,392939.2876973741,1214952.0857886998,64716.38840316102,126522.29708498699,191238.685488148,140866.03194272154,0.16469818730114602,0.32198942952843473,0.4866876168295807,0.11594369324554621
2017,14,0,0,20369.647882999194,24403.586511271937,3622.3673892367788,9287.185012951126,12909.552402187905,7974.043868897599,0.17783161545271775,0.45593252599630585,0.6337641414490236,0.3267570471747837
2017,15,0,0,96693.3577794201,225096.51591543335,20936.616348973483,32101.472167463246,53038.08851643673,45042.57409853835,0.21652590032848734,0.3319925267327475,0.5485184270612349,0.20010338194421642
2017,16,0,0,797519.7844571149,2380382.9759709435,153084.70921430746,241819.1311798041,394903.8403941116,322834.9831090014,0.19195098629247773,0.3032139589419897,0.49516494523446747,0.13562312718915284
