t,s,agg,i,Exports,va,GVC_trade_f,GVC_trade_b,GVC_trade,GVC_prod,GVCP_trade_f,GVCP_trade_b,GVCP_trade,GVCP_prod
2020,1,0,0,327053.79331139213,1292687.09441213,74094.03261977878,32808.27600719468,106902.30862697346,243974.6340771236,0.22654998699016127,0.10031461697787893,0.3268646039680402,0.1887344858100211
2020,2,0,0,224632.0984664864,401892.94406568725,45315.75810970935,76835.4277150211,122151.18582473045,90131.26363377055,0.2017332269923577,0.3420500820655621,0.5437833090579198,0.22426684758874263
2020,3,0,0,417263.6559330686,485582.3112272057,74888.402955019,179750.03116960183,254638.43412462084,154703.19799740252,0.17947501990691353,0.4307828602221583,0.6102578801290718,0.3185931497513227
2020,4,0,0,39418.70945814722,64114.799468137004,7932.554051924468,13144.205010077267,21076.759062001736,17552.370851988784,0.20123829929913992,0.3334509219291696,0.5346892212283095,0.273764731350548
2020,5,0,0,242872.0809372131,1387709.602506396,45999.8837422019,39633.032262369794,85632.91600457169,151499.38060796686,0.1893996360746533,0.16318480127246765,0.3525844373471209,0.10917225068871612
2020,6,0,0,489021.1335242586,1552263.442219387,60932.24978434198,122381.91756737136,183314.16735171335,241648.1538332129,0.12460044281771177,0.25025895442471796,0.3748593972424298,0.15567470524701044
2020,7,0,0,512065.0259900008,785385.7938179501,78281.51110450733,186689.49737798952,264971.00848249684,200997.0657918347,0.15287416076339483,0.364581621283456,0.5174557820468507,0.25592144316074195
2020,8,0,0,2723263.8438913454,14687743.556969607,421059.39345470397,432840.8994164642,853900.2928711681,998287.3969777549,0.15461571760635606,0.15894196237628086,0.3135576799826369,0.06796737654805043
2020,9,0,0,20353.92323951721,23127.526338859425,3322.4915480521536,9305.235199802517,12627.726747854671,7823.8051669723945,0.16323592798077988,0.4571715777003802,0.6204075056811601,0.3382897527534819
2020,10,0,0,171803.8948560943,229278.0419236899,30650.80906929694,68437.4877656972,99088.29683499414,58081.05379601216,0.17840578698737042,0.3983465440234724,0.5767523310108429,0.25332148385732967
2020,11,0,0,1673068.300859124,3617889.203025779,316648.520192172,475582.06221549265,792230.5824076647,650935.0445657222,0.18926215984701425,0.2842574101555091,0.47351957000252337,0.17992122147392473
2020,12,0,0,195122.33285966486,319759.7229316922,30081.843138661065,73446.5873870333,103528.43052569436,69567.28100214934,0.15416914454531666,0.37641302413013517,0.5305821686754518,0.2175611123387496
2020,13,0,0,393303.8081556376,1191637.8849866313,71629.68219098136,107996.11625050237,179625.79844148373,159982.51236139121,0.18212303238781805,0.2745870088493176,0.45671004123713566,0.13425430189573573
2020,14,0,0,21731.5373884822,28865.10887360016,3895.6974807938204,8556.640160239604,12452.337641033424,8462.1185780133,0.179264697713405,0.39374297396808455,0.5730076716814896,0.29316080583893794
2020,15,0,0,97301.40212918176,244914.8738241089,19654.492577577697,30355.214386194366,50009.70696377206,43104.632252621894,0.2019959851296233,0.3119709862545804,0.5139669713842038,0.17599842581867223
2020,16,0,0,724252.8463315221,2436160.2767956075,157754.7667864917,178701.34218282267,336456.1089693144,326736.5622370501,0.21781725482412598,0.24673888834262625,0.4645561431667522,0.1341194852199222
2020,17,0,0,790751.7111890395,2517985.2636825647,165930.61297914843,161040.7589511759,326971.37193032436,395376.9201620697,0.20983908176390978,0.20365527721593132,0.4134943589798411,0.15702114141201495
2020,18,0,0,60434.49654922764,172167.8746369919,9238.741095374457,23338.119920901576,32576.86101627603,22782.85342402517,0.1528719791327943,0.3861721575175402,0.5390441366503345,0.1323292947192487
2020,19,0,0,23840.548540842094,50830.95875704191,4606.034947668554,6994.817828439037,11600.852776107591,10264.757423043779,0.19320171848302028,0.2934000371868946,0.4866017556699149,0.20193908739960056
2020,20,0,0,123938.32914676875,138851.0154444013,20670.43108457159,56580.86177007644,77251.29285464803,41476.82058320279,0.16677997215932694,0.4565243226982101,0.623304294857537,0.2987145643152385
2020,21,0,0,182850.62719667604,1045585.2609379378,37970.72631096422,25141.85101328392,63112.57732424814,111601.56708502371,0.207659808955003,0.13749939717866586,0.34515920613366885,0.1067359796033391
2020,22,0,0,500574.7080590171,2579885.173864179,87010.0955159902,88795.8723388189,175805.96785480907,252608.14355385126,0.17382039906365349,0.17738785222115133,0.3512082512848048,0.09791449096763177
2020,23,0,0,567819.494763581,407378.2671786586,64100.90968698539,285328.8257458881,349429.7354328735,180353.31090087126,0.11288958952294274,0.5024991716156003,0.615388761138543,0.44271706527185956
2020,24,0,0,558466.1650470046,1769946.6193464373,106836.51651929367,142168.62462094153,249005.14114023518,220920.9197542124,0.1913034722708788,0.2545698083767986,0.44587328064767734,0.12481784328376451
2020,25,0,0,785207.92949804,5045181.202430305,160004.25003065876,123956.14993438737,283960.39996504615,398228.0937843181,0.20377309502330765,0.15786410870000872,0.36163720372331637,0.07893236690735475
2020,26,0,0,597865.3114164276,1585912.9312008603,117089.49189085833,165224.22933744072,282313.7212282991,289367.0606687375,0.19584593662652336,0.2763569422450704,0.4722028788715938,0.18246087472761036
2020,27,0,0,41640.35822630288,52611.820882002285,8158.342803315281,13833.802626860326,21992.14543017561,17177.497091128058,0.195923934154868,0.3322210282552746,0.5281449624101426,0.3264950120174271
2020,28,0,0,147703.31826801383,70590.86999740687,15417.382664456862,95434.31141155584,110851.6940760127,36063.63537623759,0.10438074679189928,0.6461216479807603,0.7505023947726597,0.5108824324953407
2020,29,0,0,20726.215208052618,31387.91301391163,4244.966263079639,6634.002054869991,10878.968317949631,9432.00499921686,0.2048114535368894,0.32007783323086053,0.52488928676775,0.300497997271639
